ID,name,desc,UID,price
0,Vintage Lamp,Antique brass lamp in great condition,0,50
1,Bike,Almost new mountain bike,1,200
2,Sofa,Comfortable three-seater sofa,2,300
3,Coffee Table,Modern glass coffee table,3,75
4,Laptop,High-performance gaming laptop,4,1200
5,Smartphone,Latest model smartphone with all accessories,5,800
6,Bookshelf,Wooden bookshelf with 5 shelves,6,100
7,Dining Table,Large oak dining table,7,500
8,Headphones,Noise-cancelling headphones,8,150
9,Guitar,Acoustic guitar in excellent condition,9,250
10,Microwave,Compact microwave oven,10,90
11,Vacuum Cleaner,Powerful vacuum cleaner,11,200
12,Camera,DSLR camera with lens,12,900
13,Bed Frame,King size metal bed frame,13,300
14,Office Chair,Ergonomic office chair,14,150
15,Refrigerator,Double door refrigerator,15,1000
16,Printer,All-in-one printer,16,150
17,Lawn Mower,Electric lawn mower,17,250
18,Blender,High-speed kitchen blender,18,120
19,Tent,Two-person camping tent,19,80
20,Bicycle Helmet,Safety certified bike helmet,20,60
21,Electric Scooter,Foldable electric scooter,21,400
22,Cookware Set,10-piece non-stick cookware set,22,100
23,Gaming Console,Latest gaming console with controllers,23,500
24,Desk,Spacious office desk,24,200
25,Chair,Comfy living room chair,25,100
26,Mirror,Large wall-mounted mirror,26,75
27,Books,Collection of classic novels,27,40
28,TV,55-inch 4K smart TV,28,800
29,Watch,Stylish wristwatch,29,150
30,Vacuum,Handheld vacuum cleaner,30,100
31,Mattress,Memory foam queen mattress,31,300
32,Tent,Four-person family tent,32,120
33,BBQ Grill,Outdoor charcoal grill,33,200
34,Laptop Bag,Durable laptop backpack,34,70
35,Painting,Beautiful landscape painting,35,150
36,Water Bottle,Insulated stainless steel water bottle,36,30
37,Sunglasses,Polarized sunglasses,37,50
38,Fan,Oscillating tower fan,38,80
39,Rug,Soft area rug,39,150
40,Headset,Wireless gaming headset,40,120
41,Plant,Potted indoor plant,41,40
42,Clock,Vintage wall clock,42,90
43,Heater,Portable space heater,43,70
44,Drone,High-tech drone with camera,44,500
45,Watch,Digital sports watch,45,100
46,Purse,Designer handbag,46,300
47,Sneakers,Comfortable running shoes,47,120
48,Curtains,Set of blackout curtains,48,50
49,Blender,Kitchen blender with multiple settings,49,100
50,Lawn Chair,Foldable lawn chair,50,60
51,Painting,Abstract art painting,51,150
52,Desk Lamp,LED desk lamp,52,40
53,Guitar,Electric guitar with amp,53,400
54,Vacuum,Robot vacuum cleaner,54,300
55,Bookshelf,Metal and wood bookshelf,55,150
56,Coffee Maker,Single-serve coffee maker,56,120
57,Grill,Gas BBQ grill,57,350
58,Jacket,Warm winter jacket,58,200
59,Fan,Ceiling fan with remote,59,150
60,Microwave,Countertop microwave oven,60,120
61,Helmet,Motorcycle helmet,61,200
62,Mouse,Wireless computer mouse,62,50
63,Books,Set of science fiction novels,63,60
64,Lamp,Bedside table lamp,64,40
65,Chair,Modern accent chair,65,150
66,Curtains,Elegant living room curtains,66,70
67,Blender,High-power blender for smoothies,67,150
68,Plant,Large indoor ficus plant,68,50
69,Clock,Digital alarm clock,69,30
70,Watch,Classic leather strap watch,70,200
71,Sofa,Compact loveseat sofa,71,400
72,Desk,Adjustable standing desk,72,300
73,Bicycle,Hybrid commuter bicycle,73,500
74,Tent,Lightweight backpacking tent,74,150
75,Shoes,Leather dress shoes,75,120
76,Camera,Instant film camera,76,100
77,Speaker,Bluetooth portable speaker,77,80
78,Headphones,Over-ear Bluetooth headphones,78,150
79,Bicycle,Kids' mountain bike,79,150
80,Fridge,Mini fridge,80,100
81,Laptop,Ultra-thin business laptop,81,1100
82,Bed,Bunk bed with storage,82,600
83,Chair,Reclining armchair,83,300
84,Desk,Corner office desk,84,250
85,Fan,Desk fan with USB,85,40
86,Grill,Electric indoor grill,86,150
87,Watch,Smartwatch with fitness tracker,87,250
88,Camera,Action camera for sports,88,300
89,Helmet,Ski helmet with goggles,89,120
90,Backpack,Waterproof hiking backpack,90,100
91,Coffee Table,Rustic wood coffee table,91,200
92,Sofa,Sectional sofa with chaise,92,1200
93,Desk,Glass computer desk,93,180
94,Lamp,Floor lamp with shelves,94,120
95,Plant,Cactus in ceramic pot,95,40
96,Heater,Infrared space heater,96,150
97,Books,Complete works of Shakespeare,97,80
98,Shoes,Running shoes for women,98,110
99,Bicycle,Folding bicycle,99,450
100,Laptop Stand,Adjustable laptop stand for desk,100,70
101,Camera Lens,Wide-angle camera lens,101,300
102,Couch,Leather couch with recliners,102,1000
103,Dining Set,6-piece dining set with table and chairs,103,800
104,Electric Kettle,Fast boiling electric kettle,104,40
105,Headlamp,Rechargeable LED headlamp,105,50
106,Speaker,Home theater speaker system,106,500
107,Blender,Multi-function kitchen blender,107,200
108,Mouse Pad,Large gaming mouse pad,108,30
109,Air Fryer,Digital air fryer,109,150
110,Stroller,Baby stroller with car seat,110,300
111,Backpack,Large capacity travel backpack,111,90
112,Desk Chair,Executive leather desk chair,112,250
113,Bike Pump,High-pressure bike pump,113,40
114,Toaster,4-slice toaster with browning control,114,60
115,Watch,Waterproof digital wristwatch,115,100
